Epoch	Train Loss	Validation Loss
1	0.09753215312957764	0.07691957801580429
2	0.04740176722407341	0.06914770603179932
3	0.04086799547076225	0.05890795588493347
4	0.03391813114285469	0.04476110264658928
5	0.028463611379265785	0.03475154563784599
6	0.02232995443046093	0.03688201680779457
7	0.020897895097732544	0.027932465076446533
8	0.01735437475144863	0.02395082823932171
9	0.014844430610537529	0.02271117828786373
10	0.014209335669875145	0.02043146640062332
11	0.012826178222894669	0.02455146610736847
12	0.01230709906667471	0.02135843224823475
13	0.01202236395329237	0.02146274782717228
14	0.01168098859488964	0.018734045326709747
15	0.012089054100215435	0.018790263682603836
16	0.01114833727478981	0.01895800605416298
17	0.011519502848386765	0.02204953134059906
18	0.0113894147798419	0.018007362261414528
19	0.010975868441164494	0.020037148147821426
20	0.011214110068976879	0.019555706530809402
21	0.010836787521839142	0.01779155619442463
22	0.011904517188668251	0.018796680495142937
23	0.010984369553625584	0.01774139516055584
24	0.011303829960525036	0.017982132732868195
25	0.010796137154102325	0.019418761134147644
26	0.010945629328489304	0.017951374873518944
27	0.010601188987493515	0.019729431718587875
28	0.010810689069330692	0.018079007044434547
29	0.01073740515857935	0.018060242757201195
30	0.01086329109966755	0.017590509727597237
